P [g/m2],P [mb],Epithermal
865.739,848.9999364350235,614.0
867.634,850.8582966100236,627.0
869.528,852.7156761200235,633.0
871.423,854.5740362950236,621.0
873.317,856.4314158050237,602.0
875.212,858.2897759800237,622.0
877.106,860.1471554900238,612.0
879.001,862.0055156650238,633.0
880.895,863.8628951750238,615.0
882.79,865.7212553500239,632.0
884.684,867.578634860024,637.0
886.579,869.436995035024,648.0
888.473,871.2943745450241,634.0
890.368,873.1527347200242,623.0
892.262,875.0101142300241,642.0
894.157,876.8684744050242,636.0
896.051,878.7258539150243,654.0
897.946,880.5842140900244,623.0
899.841,882.4425742650244,617.0
901.735,884.2999537750245,650.0
